Package,Class,Lines of Code,Cyclomatic Complexity,Weighted Methods per Class,Depth of Inheritance Tree,Number of Children,Coupling between Objects,Response for Class,Lack of Cohesion of Methods
org::eclipse::jdt::internal::codeassist::impl::AssistImportContainer,org::eclipse::jdt::internal::core::ImportContainer,10,3,3,5,0,7,5,0
org::eclipse::jdt::internal::core::DeleteResourceElementsOperation,org::eclipse::jdt::internal::core::MultiOperation,111,27,27,3,0,14,25,0
org::eclipse::jdt::internal::compiler::Compiler,org::eclipse::jdt::internal::compiler::impl::ITypeRequestor,647,95,95,1,3,43,86,29
org::eclipse::jdt::internal::core::CopyResourceElementsOperation,org::eclipse::jdt::internal::core::MultiOperation,618,116,116,3,1,50,135,0
org::eclipse::jdt::internal::compiler::ast::Argument,org::eclipse::jdt::internal::compiler::ast::LocalDeclaration,148,35,35,5,2,19,46,28
org::eclipse::jdt::core::dom::TypeDeclarationStatement,org::eclipse::jdt::core::dom::Statement,233,31,31,3,0,12,47,14
org::eclipse::jdt::internal::core::search::IndexQueryRequestor,java::lang::Object,1,0,0,1,6,4,1,0
org::eclipse::jdt::internal::core::ResolvedBinaryField,org::eclipse::jdt::internal::core::BinaryField,26,6,6,8,0,2,7,3
org::eclipse::jdt::internal::compiler::ClassFilePool,java::lang::Object,30,8,8,1,0,4,8,5
org::eclipse::jdt::internal::compiler::ast::CastExpression,org::eclipse::jdt::internal::compiler::ast::Expression,514,127,127,4,0,25,80,66
org::eclipse::jdt::internal::codeassist::select::SelectionOnImportReference,org::eclipse::jdt::internal::compiler::ast::ImportReference,12,4,4,3,0,1,6,0
org::eclipse::jdt::internal::core::dom::rewrite::SourceModifier,java::lang::Object,18,4,4,1,0,5,7,1
org::eclipse::jdt::internal::core::DeltaProcessor::RootInfo,java::lang::Object,62,15,15,1,0,7,17,0
org::eclipse::jdt::internal::compiler::problem::DefaultProblemFactory,org::eclipse::jdt::internal::compiler::IProblemFactory,203,28,28,1,3,17,37,26
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFormatter::BlockFormattingPrefixSuffix,java::lang::Object,24,3,3,1,0,8,7,0
org::eclipse::jdt::internal::compiler::ast::Initializer,org::eclipse::jdt::internal::compiler::ast::FieldDeclaration,97,23,23,5,0,17,28,18
org::eclipse::jdt::internal::core::util::ConstantValueAttribute,org::eclipse::jdt::core::util::IConstantValueAttribute,17,3,3,3,0,3,5,1
org::eclipse::jdt::internal::core::search::HierarchyScope,org::eclipse::jdt::internal::compiler::util::SuffixConstants,277,59,59,2,0,30,64,7
org::eclipse::jdt::internal::compiler::util::SimpleSetOfCharArray,java::lang::Object,106,35,35,1,0,6,16,18
org::eclipse::jdt::internal::compiler::ast::ImportReference,org::eclipse::jdt::internal::compiler::ast::ASTNode,46,10,10,2,5,5,10,10
org::eclipse::jdt::internal::compiler::ast::ExtendedStringLiteral,org::eclipse::jdt::internal::compiler::ast::StringLiteral,56,6,6,6,0,6,11,6
org::eclipse::jdt::internal::compiler::ast::PrefixExpression,org::eclipse::jdt::internal::compiler::ast::CompoundAssignment,34,8,8,6,0,4,11,6
org::eclipse::jdt::internal::compiler::ast::ContinueStatement,org::eclipse::jdt::internal::compiler::ast::BranchStatement,75,16,16,4,0,11,25,3
org::eclipse::jdt::internal::core::search::matching::VariableLocator,org::eclipse::jdt::internal::core::search::matching::PatternLocator,63,21,21,2,2,10,10,0
org::eclipse::jdt::core::dom::rewrite::TargetSourceRangeComputer,java::lang::Object,41,3,3,1,1,3,7,0
org::eclipse::jdt::internal::compiler::ast::JavadocImplicitTypeReference,org::eclipse::jdt::internal::compiler::ast::TypeReference,95,28,28,5,0,12,32,20
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocMessageSend,org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadoc,72,19,19,6,0,1,12,0
org::eclipse::jdt::internal::compiler::parser::RecoveredMethod,org::eclipse::jdt::internal::compiler::parser::TerminalTokens,564,120,120,2,0,29,62,143
